gene1	gene2	pvalue	qvalue
TP53	CHD3	2.1350271888866645e-24	1.8083204611352974e-22
TP53	KANSL1	6.473059482772446e-19	5.285664633099563e-17
TP53	SMAD2	5.1618922013676785e-05	0.0011235639309681107
TP53	LZTR1	6.3219097308586855e-06	0.00018772271083979144
TP53	KDM5C	6.667682223568474e-09	3.474648362373946e-07
TP53	HUWE1	1.2526129439301871e-14	8.852993827102108e-13
TP53	MED12	4.9393791586545397e-23	4.078351902344527e-21
TP53	FLNA	5.820238944202666e-13	3.7891476869700575e-11
TP53	SOS1	8.53719631164748e-10	5.011627486764028e-08
TP53	CHD4	8.326975289168151e-13	5.341291868663795e-11
TP53	SPOP	3.558352991598719e-07	1.3997014395588112e-05
TP53	ZMYM3	2.1868800450735992e-11	1.3292227930500326e-09
TP53	ESR1	1.6604401649679078e-08	8.186279771727584e-07
TP53	LATS2	6.876462594045073e-08	3.035010976173173e-06
TP53	AKT1	1.5509024610173756e-07	6.505357729516699e-06
TP53	SOX9	1.843505945651748e-05	0.0004713424254904809
TP53	EP300	7.045974477492602e-16	5.1551337082263114e-14
TP53	MTOR	2.8307704119680303e-12	1.825402934524146e-10
TP53	EPHA2	3.287301028561144e-07	1.3175588200924923e-05
TP53	NRAS	7.226163673018688e-06	0.00021195233116538792
TP53	CSDE1	9.426058422655249e-06	0.00026525972563286657
TP53	NOTCH2	1.1762087315720863e-08	5.919802009311308e-07
TP53	SPTA1	3.0500165432411194e-16	2.481767751789942e-14
TP53	PTPRC	1.0775952024333938e-07	4.693788155682265e-06
TP53	IRF6	0.0003436216522214963	0.00562860545665081
TP53	DNMT3A	1.1095684022242507e-08	5.632436707195041e-07
TP53	ALK	3.384437663700986e-08	1.59925302561354e-06
TP53	EPAS1	1.5430354633460486e-06	5.549496778791062e-05
TP53	MSH2	1.2444474524891555e-05	0.0003323108334929212
TP53	XPO1	1.95102702333032e-09	1.0679656880790988e-07
TP53	PMS1	9.206211495247274e-06	0.0002606736463579085
TP53	SF3B1	1.2568947169899988e-11	7.463659747863287e-10
TP53	CASP8	6.753106305449268e-10	4.0190515560690223e-08
TP53	RAF1	5.1618922013676785e-05	0.0011235639309681107
TP53	TGFBR2	2.144027156602004e-05	0.0005367560112837874
TP53	BAP1	1.914917917001453e-06	6.586099594305799e-05
TP53	PBRM1	3.2559240062780768e-09	1.792257152049962e-07
TP53	EPHA3	5.695676606353408e-11	3.530744030300362e-09
TP53	POLQ	4.802936144805207e-10	2.958524799388735e-08
TP53	PIK3CB	8.188367183116292e-09	4.200730081113266e-07
TP53	MECOM	4.763088614350212e-07	1.8430761196611038e-05
TP53	PDGFRA	2.184641888142234e-06	7.418574108293452e-05
TP53	KIT	1.0155639859598686e-05	0.000279658044518389
TP53	ALB	4.014775875022881e-07	1.579411386761536e-05
TP53	TET2	5.662575261462005e-07	2.154963488092398e-05
TP53	FBXW7	6.835206455670726e-13	4.4029597652296e-11
TP53	FAT1	1.2305156391019905e-17	1.036808059567205e-15
TP53	APC	6.912524185408149e-16	5.148549117376308e-14
TP53	GABRA6	0.0003174614771346242	0.0053231953123684395
TP53	LATS1	8.188367183116292e-09	4.200730081113266e-07
TP53	MAP3K4	1.1615795495337425e-10	7.231539943968347e-09
TP53	PMS2	1.4877631997211918e-09	8.106767855544437e-08
TP53	EGFR	6.696011357620653e-07	2.540845728613899e-05
TP53	HGF	2.454511690502277e-05	0.000595305247238321
TP53	PIK3CG	1.681133274959758e-11	1.0404071733751136e-09
TP53	MET	1.5919582220731699e-09	8.659271523829081e-08
TP53	KEL	2.0607417660368853e-08	9.829675059019015e-07
TP53	CUL1	2.555812984155935e-07	1.0332683824043635e-05
TP53	EZH2	1.0775952024333938e-07	4.693788155682265e-06
TP53	KMT2C	7.265358631176968e-20	6.689801772948617e-18
TP53	FGFR1	0.0003330396599352518	0.0055012437925663436
TP53	SOX17	1.6604401649679078e-08	8.186279771727584e-07
TP53	CNBD1	3.8704071324202286e-06	0.00012120911317818892
TP53	JAK2	2.5950398375715547e-05	0.0006185417492250242
TP53	PAX5	1.0353875149442405e-05	0.0002817280188523793
TP53	GNAQ	0.000494354791628239	0.007699659762764645
TP53	PTPDC1	6.44151654344461e-06	0.00019082852206530219
TP53	PTCH1	8.237336574464983e-10	4.840722461000157e-08
TP53	TLR4	4.763088614350212e-07	1.8430761196611038e-05
TP53	TSC1	6.319247527943399e-08	2.8315658972143794e-06
TP53	NOTCH1	6.753106305449268e-10	4.0190515560690223e-08
TP53	GATA3	5.1618922013676785e-05	0.0011235639309681107
TP53	RET	1.478952181265537e-08	7.421224266961914e-07
TP53	ARID5B	1.420220403935717e-20	1.2603116266523751e-18
TP53	TCF7L2	1.1290603043057192e-09	6.304358452072076e-08
TP53	FGFR2	4.1062308638567264e-17	3.5201103765692367e-15
TP53	MEN1	1.843505945651748e-05	0.0004713424254904809
TP53	INPPL1	2.735910830284093e-16	2.2939480812308063e-14
TP53	ATM	8.052909748206714e-21	7.443301509390585e-19
TP53	KMT2A	1.7736989655545508e-12	1.1574708525997548e-10
TP53	ERBB3	4.7998744679998005e-09	2.509449536870761e-07
TP53	PTPN11	3.555607445685609e-05	0.0008179159309630368
TP53	TBX3	8.943297554017846e-07	3.287494152302837e-05
TP53	POLE	1.0119081925548507e-14	7.192753630960299e-13
TP53	FLT3	2.4699546524701006e-06	8.395646983599942e-05
TP53	BRCA2	1.3656355692978596e-13	8.702939481370584e-12
TP53	PDS5B	1.3333692799946956e-14	9.192358021970558e-13
TP53	RB1	8.714308206650729e-09	4.389884709689312e-07
TP53	CHD8	4.365080810047793e-11	2.7153692986779475e-09
TP53	MAX	2.561843833728489e-05	0.0006118351221618364
TP53	DICER1	6.839923127824746e-14	4.27329365990501e-12
TP53	MGA	1.724378634276767e-15	1.2163707763969028e-13
TP53	B2M	7.0437981068702e-05	0.0014718383191881395
TP53	TCF12	7.49725508894189e-05	0.0015589598538913966
TP53	RNF111	1.2444474524891555e-05	0.0003323108334929212
TP53	SIN3A	2.2423273582082547e-14	1.5035142040264332e-12
TP53	IDH2	5.1618922013676785e-05	0.0011235639309681107
TP53	TSC2	2.0327293006322242e-08	9.829675059019015e-07
TP53	CREBBP	6.473059482772446e-19	5.285664633099563e-17
TP53	NUP93	1.3270763062243343e-07	5.685569594078249e-06
TP53	CTCF	2.3203576773210369e-38	1.0402921601799077e-36
TP53	CDH1	4.014775875022881e-07	1.579411386761536e-05
TP53	ZFHX3	5.845662753498686e-24	4.804357972046116e-22
TP53	MAP2K4	5.276851367851657e-05	0.0011466891793368698
TP53	NCOR1	1.556435909644066e-13	9.819684664478272e-12
TP53	NF1	5.749357526385829e-14	3.850776964535791e-12
TP53	CDK12	0.00027456175459906785	0.004772810625990597
TP53	ERBB2	0.00027456175459906785	0.004772810625990597
TP53	BRCA1	4.571870071066722e-06	0.00014036755840951467
TP53	RNF43	9.586648735139133e-23	8.030263073650312e-21
TP53	GNA13	3.490873043918688e-05	0.0008048848328461818
TP53	ZNF750	3.381126114687708e-05	0.000777928415559177
TP53	TGIF1	8.869115534777493e-06	0.0002523261753895777
TP53	SETBP1	1.4604597433071101e-10	9.050479735185627e-09
TP53	POLRMT	1.7007518020800065e-05	0.0004387832685427856
TP53	DAZAP1	8.943297554017846e-07	3.287494152302837e-05
TP53	EEF2	9.708344435278827e-10	5.6259192561774e-08
TP53	KEAP1	7.025785716423028e-05	0.001469681682497574
TP53	SMARCA4	1.3230831225881066e-10	8.399517741463834e-09
TP53	CACNA1A	1.052833567221185e-09	6.060769301889366e-08
TP53	JAK3	1.914917917001453e-06	6.586099594305799e-05
TP53	KMT2B	2.106531170129249e-25	1.692546371743612e-23
TP53	CIC	9.67723679528095e-12	6.055350558132829e-10
TP53	ARHGAP35	3.894558320205851e-13	2.5664534918179057e-11
TP53	GRIN2D	0.0006249237541251946	0.009335701432916725
TP53	PLCB4	6.696011357620653e-07	2.540845728613899e-05
TP53	ZNF133	0.00045074157173608	0.007076967038171554
TP53	ASXL1	6.677246861598271e-12	4.309705718548046e-10
TP53	PLCG1	1.7007518020800065e-05	0.0004387832685427856
TP53	GNAS	9.541898882047877e-08	4.224279349298792e-06
TP53	SCAF4	7.254865334197876e-16	5.2067298855710556e-14
TP53	RUNX1	7.664236008279888e-05	0.001586337517553509
TP53	MYH9	6.3219097308586855e-06	0.00018772271083979144
TP53	PLXNB2	3.259288590508115e-07	1.3143417541331037e-05
TP53	RPS6KA3	4.763088614350212e-07	1.8430761196611038e-05
TP53	DMD	2.4690737841913495e-16	2.154374038433482e-14
TP53	USP9X	3.4426828871272833e-16	2.6973842867115633e-14
TP53	DDX3X	8.188367183116292e-09	4.200730081113266e-07
TP53	KDM6A	6.499924828535473e-07	2.4870943239589222e-05
TP53	RBM10	1.029083035560201e-06	3.70948381423857e-05
TP53	ARAF	7.93779499820789e-09	4.12871440262365e-07
TP53	SMC1A	1.1650624578203948e-11	7.103168117181692e-10
TP53	AMER1	4.309720081990231e-07	1.7089304556369234e-05
TP53	ATRX	9.987850308189193e-15	7.192753630960299e-13
TP53	DIAPH2	3.8125064435514683e-10	2.3886676493506876e-08
TP53	SMARCA1	1.151022255861714e-13	7.2707255171946946e-12
TP53	ERBB4	1.092498289266822e-09	6.193204418706561e-08
TP53	ZC3H12A	0.00015712180691380794	0.002998855813935542
TP53	DHX9	1.092498289266822e-09	6.193204418706561e-08
TP53	NUP133	0.00015765916279603998	0.0030000808700572784
TP53	MSH6	6.380009625349539e-14	4.116408593917089e-12
TP53	ACVR1	2.3364214483048172e-05	0.0005743587089541528
TP53	CUL3	8.680816347921232e-08	3.8732828542825944e-06
TP53	TBL1XR1	0.0003174614771346242	0.0053231953123684395
TP53	RFC1	1.6953565172241573e-09	9.340449965980317e-08
TP53	IL6ST	1.355590897634104e-07	5.724518451268685e-06
TP53	MSH3	1.1346601079736636e-12	7.349631071740172e-11
TP53	CARD11	1.2614529541403933e-09	6.94805149294806e-08
TP53	KRAS	8.44421858790214e-28	5.715203747137391e-26
TP53	CYSLTR2	0.00026835249193055946	0.004664232108553635
TP53	TRAF3	0.000321048870208327	0.005380675631684452
TP53	PPM1D	2.555812984155935e-07	1.0332683824043635e-05
TP53	AXIN2	6.696011357620653e-07	2.540845728613899e-05
TP53	CHEK2	0.0006249237541251946	0.009335701432916725
TP53	AR	3.8125064435514683e-10	2.3886676493506876e-08
TP53	STAG2	4.488463786678896e-10	2.8163122123940483e-08
TP53	MLH1	3.4960822561760015e-06	0.00010956632746961054
TP53	FUBP1	2.726118539637734e-06	9.100199146805392e-05
TP53	ZBTB7B	1.0353875149442405e-05	0.0002817280188523793
TP53	PSIP1	8.943297554017846e-07	3.287494152302837e-05
TP53	FOXA1	0.0001087327247286108	0.002176425673887121
TP53	AXIN1	2.555812984155935e-07	1.0332683824043635e-05
TP53	CYLD	7.1892889508072155e-06	0.00021128430517450706
TP53	ZCCHC12	0.00016160912359493288	0.0030590852343542465
TP53	PGR	3.514146386033075e-07	1.389427836074555e-05
TP53	THRAP3	1.5430354633460486e-06	5.549496778791062e-05
TP53	IL7R	0.0006700896199022187	0.009929771264568293
TP53	EIF1AX	0.00026835249193055946	0.004664232108553635
TP53	RAD21	4.8842607597852576e-05	0.001078435420958536
TP53	PIK3R2	0.0004856954662241176	0.007581731142057251
TP53	PHF6	6.10101402454704e-05	0.0012911640479979026
FOXA2	ARID1A	0.0003976267546150897	0.0063288348900165416
FOXA2	CTNNB1	3.1383394384456395e-05	0.0007257370138376312
FOXA2	PIK3R1	8.417786110680265e-05	0.0017043139706754784
FOXA2	BCOR	1.4042935345627628e-05	0.00037001533599362443
FOXA2	RPL22	3.7632111938860783e-06	0.00011768782650430338
FOXA2	MACF1	0.0008077580902372174	0.011490609912527153
FOXA2	JAK1	0.00012915365130614835	0.002525449799287794
FOXA2	APOB	3.880500244899347e-05	0.000885684307976402
FOXA2	ACVR2A	2.1444110030367525e-05	0.0005367560112837874
FOXA2	NIPBL	1.9263879515742857e-05	0.0004908468083000158
FOXA2	MAP3K1	0.0005252297774825392	0.00813355176199981
FOXA2	RASA1	0.0005555735861909203	0.008532218132385508
FOXA2	COL5A1	0.00020082686577049306	0.0036555455763759223
FOXA2	MUC6	0.00035864980765638725	0.005801050233386439
FOXA2	CCND1	5.860079079270462e-07	2.246921981034588e-05
FOXA2	ZMYM2	1.2931123944743793e-05	0.00034220527990958075
FOXA2	CHD3	1.921450746715043e-05	0.000490344580037739
FOXA2	KANSL1	0.0002530061681527775	0.004423815530049889
FOXA2	LZTR1	0.0008436283335324623	0.0120344505372206
FOXA2	MED12	2.0899278456990966e-05	0.0005232190152646651
FOXA2	CHD4	0.0001698995524485132	0.0031929432756296074
FOXA2	SPOP	7.792204159878532e-06	0.00022471551923637894
FOXA2	AKT1	1.171519181270009e-05	0.00031786265767456615
FOXA2	MTOR	0.0008827305419966066	0.012519026506675053
FOXA2	SPTA1	0.0002924404675752839	0.005028119930687585
FOXA2	SF3B1	1.2465763917937964e-05	0.0003323108334929212
FOXA2	CASP8	0.0002531811644634746	0.00443077485654474
FOXA2	POLQ	0.0005965622817753975	0.009060167398544922
FOXA2	MECOM	0.0004322565708031246	0.006780898279649516
FOXA2	FBXW7	9.892737039120453e-07	3.615953905522377e-05
FOXA2	FAT1	9.329420099785218e-05	0.0018761951453037048
FOXA2	EZH2	0.0001323580537538504	0.002577799108327038
FOXA2	GATA3	0.00010035267027358463	0.0020068372924535133
FOXA2	ARID5B	0.0003552088006942983	0.005746450501069876
FOXA2	TCF7L2	0.0004322565708031246	0.006780898279649516
FOXA2	FGFR2	0.0005319612451072941	0.00821769107582495
FOXA2	CREBBP	0.0008133749555566125	0.011588357822426506
FOXA2	CTCF	0.00047691722403489804	0.007465807405120093
FOXA2	RNF43	0.00010030115820024787	0.0019995366702583806
FOXA2	EEF2	8.39856751928211e-05	0.001700833488259954
FOXA2	SMARCA4	0.0007733808328082554	0.011083197870783072
FOXA2	CACNA1A	0.0006786873902888019	0.010009538914054487
FOXA2	KMT2B	0.0007238766669959616	0.010590894439002246
FOXA2	ARHGAP35	0.0001822936840714854	0.0033668560329381536
FOXA2	SCAF4	3.267206183613744e-05	0.0007579242969948867
FOXA2	DDX3X	0.0008436283335324623	0.0120344505372206
FOXA2	ARAF	2.7865424817836103e-05	0.0006604898928822178
FOXA2	DIAPH2	0.0002938199438056183	0.005041810324059239
FOXA2	SMARCA1	0.00047712683041347163	0.007469011196867252
FOXA2	ERBB4	0.0005125137770219324	0.007977815238590515
FOXA2	ZC3H12A	0.00011480048877776334	0.0022842230347043437
FOXA2	NUP133	3.555661428690555e-05	0.0008188916793953135
FOXA2	MSH6	0.00032071607023786275	0.0053805601183056
FOXA2	TBL1XR1	0.00031807632948238927	0.005341140426058507
FOXA2	KRAS	4.050061103045062e-09	2.143471070075164e-07
FOXA2	AXIN1	0.0002324316167553062	0.004139706073609012
FOXA2	ZCCHC12	0.0005992169510294164	0.009117566873373813
ARID1A	PIK3R1	4.986364892639747e-06	0.00015092670539311605
ARID1A	SPOP	0.00011367402668673675	0.0022596041883944013
ARID1A	PPP2R1A	6.953523054910283e-11	4.317354946064994e-09
ARID1A	FBXW7	2.055368090887537e-05	0.00051348701845293
ARID1A	ARHGAP35	0.0001749782261592355	0.003283757454486194
CTNNB1	PIK3R1	2.4543174881373775e-09	1.347195012871097e-07
CTNNB1	BCOR	2.7099849253542484e-06	9.079561669815022e-05
CTNNB1	TAF1	5.354860014248085e-06	0.00016014136816749374
CTNNB1	NFE2L2	6.434728867941882e-05	0.0013608885162381624
CTNNB1	KIF1A	8.78073358689543e-05	0.001767144238402663
CTNNB1	RPL22	6.158939771968257e-17	5.236833626224585e-15
CTNNB1	MACF1	1.172106419415952e-06	4.26513208613487e-05
CTNNB1	JAK1	7.622036459707494e-12	4.796479167580088e-10
CTNNB1	APOB	5.11810809053009e-07	1.9657936788457416e-05
CTNNB1	ACVR2A	7.885313773226797e-10	4.6789155075293615e-08
CTNNB1	ZBTB20	4.855628024694529e-07	1.874321553876453e-05
CTNNB1	ATR	0.00023509872794242473	0.004151911913824863
CTNNB1	NIPBL	2.407306137986706e-05	0.0005832804656224212
CTNNB1	MAP3K1	3.5904379857864547e-08	1.6704729548205988e-06
CTNNB1	RASA1	1.723761538353189e-05	0.00044124649765800065
CTNNB1	NSD1	6.227790047227842e-06	0.00018653596055578057
CTNNB1	BRAF	3.1383394384456395e-05	0.0007257370138376312
CTNNB1	PTPRD	1.7672298195728384e-05	0.00045420357311206456
CTNNB1	SPTAN1	0.00020499612052549512	0.0037082925940998845
CTNNB1	COL5A1	1.9960091154738226e-05	0.0005012291044128353
CTNNB1	MUC6	3.144277997780592e-06	0.00010068513021699744
CTNNB1	CTNND1	4.949854228735627e-05	0.001085735790926568
CTNNB1	SF1	0.00046035353725262606	0.007178136330767643
CTNNB1	CCND1	3.308786412940133e-07	1.3175588200924923e-05
CTNNB1	ARID2	0.00020199110679838066	0.0036780272874782694
CTNNB1	KMT2D	1.4048299145282119e-08	7.190545396876323e-07
CTNNB1	ZMYM2	0.00032065204713183445	0.005379404971198803
CTNNB1	CHD3	1.2773146350987737e-09	6.970203002869443e-08
CTNNB1	KANSL1	6.3874641253316266e-06	0.00018865492768474693
CTNNB1	LZTR1	2.3517410436564373e-05	0.000574600864687815
CTNNB1	KDM5C	1.7021028540189274e-05	0.0004387832685427856
CTNNB1	HUWE1	5.312410497427992e-06	0.00015968266415361456
CTNNB1	MED12	2.1991472595953264e-06	7.444050788623742e-05
CTNNB1	FLNA	3.407112509468014e-08	1.60482236377317e-06
CTNNB1	SOS1	0.0005064343010212711	0.007881921099292869
CTNNB1	CHD4	2.2407480536582872e-07	9.424305930169112e-06
CTNNB1	SPOP	3.2319448975942635e-06	0.00010330396644144007
CTNNB1	PPP2R1A	8.543411586219036e-15	6.361297649668189e-13
CTNNB1	ZMYM3	2.750213285219031e-06	9.173159128280185e-05
CTNNB1	EP300	8.98519484036487e-06	0.00025394609487717205
CTNNB1	MTOR	8.255908521670799e-05	0.0016759970177739423
CTNNB1	EPHA2	6.3586414179562e-06	0.00018846346235996785
CTNNB1	NOTCH2	0.00020199110679838066	0.0036780272874782694
CTNNB1	ALK	0.00013276233306306216	0.002581918846786277
CTNNB1	EPAS1	0.00029373359768695534	0.005041810324059239
CTNNB1	MSH2	0.0006588043948604662	0.009755402049633516
CTNNB1	CASP8	3.1729928722370925e-06	0.00010148531746940663
CTNNB1	BAP1	0.0007410046848896649	0.010809008558745545
CTNNB1	PBRM1	0.0002996492742768203	0.00509264137688866
CTNNB1	EPHA3	3.130475482640287e-05	0.0007257370138376312
CTNNB1	POLQ	2.08495072460138e-05	0.0005216603159636605
CTNNB1	FBXW7	5.1690424290779435e-14	3.525907910127209e-12
CTNNB1	FAT1	6.62686675398469e-09	3.4521541634561576e-07
CTNNB1	APC	7.003873763052832e-05	0.0014688496761880525
CTNNB1	PIK3CG	0.0002003787032606034	0.0036481507977686382
CTNNB1	KEL	0.0007679086185008873	0.011050989837154513
CTNNB1	KMT2C	1.7448546901264043e-07	7.333225344757868e-06
CTNNB1	SOX17	0.00030650391444503403	0.0051862849530719644
CTNNB1	MYC	0.00027232313484760394	0.0047253525267626755
CTNNB1	PTCH1	1.9473633078929864e-06	6.692277889959555e-05
CTNNB1	TSC1	1.2623572727289831e-05	0.00033765896003511164
CTNNB1	NOTCH1	3.815714878602826e-09	2.0374501831653752e-07
CTNNB1	ARID5B	4.751002777895799e-07	1.8430761196611038e-05
CTNNB1	TCF7L2	0.00014224435202676522	0.002764819288472296
CTNNB1	FGFR2	5.803708792711003e-05	0.0012413236294175156
CTNNB1	INPPL1	9.367617920052785e-08	4.161968091977781e-06
CTNNB1	ATM	1.274092242559242e-07	5.422716476534645e-06
CTNNB1	KMT2A	0.00025128325179258975	0.004408560208848172
CTNNB1	ERBB3	0.0002174005491766898	0.0038947190644838506
CTNNB1	POLE	0.00020139801278864356	0.0036640085377014383
CTNNB1	FLT3	0.0001482469033400612	0.0028578872434202787
CTNNB1	BRCA2	1.1395302504595519e-05	0.00030725713373787653
CTNNB1	PDS5B	4.122836494094385e-06	0.00012988145649104333
CTNNB1	RB1	5.249013287156468e-05	0.0011452538585431148
CTNNB1	CHD8	0.00023509872794242473	0.004151911913824863
CTNNB1	MGA	1.1686884870981201e-07	5.0890227759256935e-06
CTNNB1	SIN3A	7.860893758183281e-05	0.0016233048252933
CTNNB1	TSC2	4.334582849290076e-05	0.0009760801680015876
CTNNB1	CREBBP	7.056241902361455e-07	2.6505591258547406e-05
CTNNB1	NUP93	0.00034560761260901587	0.0056431206530394564
CTNNB1	CTCF	9.108300699270482e-07	3.344555351020945e-05
CTNNB1	ZFHX3	4.7880959809620374e-11	2.9935645114337705e-09
CTNNB1	NCOR1	8.98519484036487e-06	0.00025394609487717205
CTNNB1	NF1	5.1612613502012965e-05	0.0011235639309681107
CTNNB1	CDK12	0.0006588043948604662	0.009755402049633516
CTNNB1	ERBB2	0.0006588043948604662	0.009755402049633516
CTNNB1	BRCA1	0.0001756624117983498	0.003293707384785123
CTNNB1	RNF43	2.182124025221455e-16	1.9275434766366785e-14
CTNNB1	SETBP1	2.875341559255663e-05	0.0006814837804465024
CTNNB1	POLRMT	0.000617008654305394	0.009276053532398234
CTNNB1	DAZAP1	0.0001276134798567796	0.0024933867946488756
CTNNB1	EEF2	5.8434722791579596e-05	0.0012557079551000186
CTNNB1	SMARCA4	1.950133287084341e-05	0.0004922977066576858
CTNNB1	CACNA1A	0.00021221639106064571	0.0038496752648221277
CTNNB1	KMT2B	4.4426955382583143e-13	2.8884101221451666e-11
CTNNB1	CIC	0.0001253349697004857	0.0024511979663152934
CTNNB1	ARHGAP35	3.2928570770728855e-07	1.3175588200924923e-05
CTNNB1	ASXL1	3.144277997780592e-06	0.00010068513021699744
CTNNB1	PLCG1	0.000617008654305394	0.009276053532398234
CTNNB1	SCAF4	8.797822298702426e-07	3.2576238222340164e-05
CTNNB1	PLXNB2	3.022021171619841e-07	1.2385535738005007e-05
CTNNB1	DMD	2.616952037463288e-07	1.058418798760403e-05
CTNNB1	USP9X	1.960546238493847e-05	0.0004933250677895359
CTNNB1	ARAF	0.00016360414823918124	0.0030856117408446775
CTNNB1	SMC1A	0.00031292941949891454	0.0052829065365609254
CTNNB1	AMER1	0.0003342605986196568	0.005503120408801366
CTNNB1	ATRX	7.514998466114516e-05	0.0015595564904402302
CTNNB1	ERBB4	0.0005321210550772728	0.00821769107582495
CTNNB1	ZC3H12A	0.00022604612334895479	0.004039528276590524
CTNNB1	DHX9	1.0078823264014888e-05	0.0002789660392060966
CTNNB1	MSH6	1.579885812181551e-05	0.0004098526534049865
CTNNB1	MSH3	8.037512454477279e-05	0.0016434976784165793
CTNNB1	CARD11	0.00031292941949891454	0.0052829065365609254
CTNNB1	KRAS	1.4405403630452296e-15	1.0237036655854766e-13
CTNNB1	AXIN2	1.304289524472649e-06	4.7263544461052054e-05
CTNNB1	AR	0.0006125957048786267	0.00923390634771751
CTNNB1	MLH1	0.0001906986693633675	0.0034728919697852205
CTNNB1	ZBTB7B	0.0003242976275504044	0.005400450728640182
